city name,population count,latitude,longitude
Mumbai,"1,26,91,836",19.07283,72.88261
Delhi,"1,09,27,986",28.65195,77.23149
Bengaluru,"51,04,047",12.97194,77.59369
Kolkata,"46,31,392",22.56263,88.36304
Chennai,"43,28,063",13.08784,80.27847
Ahmedabad,"37,19,710",23.02579,72.58727
Hyderabad,"35,97,816",17.38405,78.45636
Pune,"29,35,744",18.51957,73.85535
Surat,"28,94,504",21.19594,72.83023
Kanpur,"28,23,249",26.46523,80.34975
Jaipur,"27,11,758",26.91962,75.78781
Navi Mumbai,"26,00,000",19.03681,73.01582
Lucknow,"24,72,011",26.83928,80.92313
Nagpur,"22,28,018",21.14631,79.08491
Indore,"18,37,041",22.71792,75.8333
Patna,"15,99,920",25.59408,85.13563
Bhopal,"15,99,914",23.25469,77.40289
Ludhiana,"15,45,368",30.91204,75.85379
Tirunelveli,"14,35,844",8.72742,77.6838
Agra,"14,30,055",27.18333,78.01667
Vadodara,"14,09,476",22.29941,73.20812
Gorakhpur,"13,24,570",29.44768,75.67206
Nashik,"12,89,497",19.99727,73.79096
Pimpri,"12,84,606",18.62292,73.80696
Kalyan,"12,62,255",19.2437,73.13554
Thane,"12,61,517",19.19704,72.96355
Meerut,"12,23,184",28.98002,77.70636
Nowrangapur,"12,20,946",19.23114,82.54826
Faridabad,"12,20,229",28.41124,77.31316
Ghaziabad,"11,99,191",28.66535,77.43915
Dombivli,"11,93,000",19.21667,73.08333
Rajkot,"11,77,362",22.29161,70.79322
Varanasi,"11,64,404",25.31668,83.01041
Amritsar,"10,92,450",31.62234,74.87534
Allahabad,"10,73,438",25.44478,81.84322
Visakhapatnam,"10,63,178",17.68009,83.20161
Teni,"10,34,724",10.01115,77.47772
Jabalpur,"10,30,168",23.16697,79.95006
Haora,"10,27,672",22.57688,88.31857
Aurangabad,"10,16,441",19.87757,75.34226
Shivaji Nagar,"10,00,000",18.53017,73.85263
Solapur,"9,97,281",17.67152,75.91044
Srinagar,"9,75,857",34.08565,74.80555
Chandigarh,"9,60,787",30.73629,76.7884
Coimbatore,"9,59,823",11.00555,76.96612
Jodhpur,"9,21,476",26.26841,73.00594
Madurai,"9,09,908",9.91769,78.11898
Guwahati,"8,99,094",26.1844,91.7458
Gwalior,"8,82,458",26.22983,78.17337
Vijayawada,"8,74,587",16.50745,80.6466
Mysore,"8,68,313",12.29791,76.63925
